file,overall,pitch,rhythm,intS,intA,intT,intB,harmony,parallel,repeated
generated/chorale_305.csv,16.9901,0.7141,2.3295,1.7330,2.0604,2.1776,5.8328,0.2848,0.7865,1.0714
generated/chorale_376.csv,17.5953,0.6887,0.7860,7.6203,1.5127,1.7776,1.2549,0.8915,1.6363,1.4273
generated/chorale_312.csv,17.6315,1.2670,1.0989,0.9995,1.1815,1.6722,1.3553,1.0630,7.8002,1.1938
generated/chorale_370.csv,17.9203,1.2999,0.9194,1.0757,1.5441,2.3098,1.7495,1.1905,5.0876,2.7437
generated/chorale_334.csv,18.5724,1.3283,1.2632,1.0586,1.5302,1.6722,1.5891,1.1344,7.8002,1.1961
generated/chorale_331.csv,18.7516,0.6993,2.3246,1.2057,3.3532,2.2989,6.4686,0.9857,0.0000,1.4156
generated/chorale_338.csv,19.5401,0.6912,1.8875,1.1077,3.2904,2.4246,6.4686,0.7368,1.3586,1.5746
generated/chorale_378.csv,19.6005,1.5640,2.7720,1.2936,1.8552,2.1641,4.4162,1.6471,2.7515,1.1368
generated/chorale_347.csv,20.0055,1.3542,1.0740,1.4478,1.2693,1.8945,1.5446,1.1086,8.7715,1.5411
generated/chorale_345.csv,20.2130,1.2940,2.0528,1.3503,1.5302,2.1765,1.1788,0.8085,3.2543,6.5676
generated/chorale_381.csv,20.2724,0.7060,3.6449,2.0064,2.9354,1.6826,6.8105,0.4774,0.7748,1.2343
generated/chorale_340.csv,20.9025,1.1094,0.6149,4.0445,1.3825,2.1808,1.1632,1.1192,5.0652,4.2228
generated/chorale_335.csv,21.1639,0.9119,1.3681,1.0388,1.2642,1.6459,1.9170,0.9921,5.6182,6.4076
generated/chorale_365.csv,21.1670,1.3710,0.7501,1.2267,1.2868,1.9940,1.7727,1.1317,8.6746,2.9595
generated/chorale_363.csv,23.0037,1.5970,1.8020,1.3808,1.4734,2.3098,1.5277,1.2560,6.7411,4.9159
generated/chorale_375.csv,23.2252,1.0777,3.0719,1.0751,1.8654,2.1141,9.8328,1.5842,0.5762,2.0278
generated/chorale_358.csv,24.1732,0.7515,3.0741,1.1195,5.7143,2.3851,9.4995,0.2935,0.0000,1.3358
generated/chorale_344.csv,26.5051,0.7866,3.3021,1.2911,3.1742,2.9112,12.2515,1.5331,0.0000,1.2552
generated/chorale_320.csv,27.4156,0.9677,4.0050,1.3952,3.1742,2.9112,12.2515,1.5730,0.0000,1.1378
generated/chorale_353.csv,27.5274,0.7976,2.3789,3.2828,3.1742,2.9112,12.2515,1.5703,0.0000,1.1610
generated/chorale_352.csv,28.9374,0.7332,2.2994,1.5321,5.7143,4.9655,12.2515,0.4754,0.0000,0.9659
generated/chorale_328.csv,31.9769,0.8471,2.4647,16.1365,2.2763,2.4246,3.2664,0.7314,2.1349,1.6950
generated/chorale_321.csv,74.8804,0.6425,2.5711,1.1281,3.7434,3.1493,62.0897,0.4990,0.0000,1.0574
generated/chorale_371.csv,74.8866,0.5668,2.7949,1.1316,3.1434,3.4112,62.0897,0.4043,0.0000,1.3448
generated/chorale_307.csv,76.6031,0.8890,2.3175,1.4766,3.8767,2.5961,62.0897,0.5732,0.0000,2.7844
generated/chorale_325.csv,83.2732,0.6763,3.2574,6.5595,3.8767,4.9655,62.0897,0.5936,0.0000,1.2546
